#,Name,Team,Year,Pos,App,GS,W,L,SV,CG,BF,IP,IP/G,BIP,H,H/9,R,ER,BB,BB/9,BB%,K,K/9,K%,K/BB,HR,HBP,LOB %,ERA,ERA-,FIP,FIP-,E-F,WHIP
12,"Nick
 Harms",OFL,So,OF,1,0,0,0,0,0,7,2.00,0.04,5,0,0.00,0,0,0,0.00,0.00,2,9.00,28.57,#NUM!,0,0,#DIV/0!,0.00,0.00,2.57,40.02,-2.57,0.00
16,"Kaden
 Joggerst",OFL,Fr,P,11,1,2,0,0,0,111,22.33,0.40,50,19,7.66,24,21,24,9.67,21.62,30,12.09,27.03,1.25,4,3,54.46,8.46,131.62,7.84,121.94,0.62,1.93
18,"Christian
 Harvey",OFL,So,P,2,2,0,2,0,0,46,8.67,0.15,23,10,10.38,9,8,9,9.34,19.57,12,12.46,26.09,1.33,1,1,59.14,8.31,129.28,6.77,105.18,1.54,2.19
22,"Drew
 Politte",OFL,Fr,IF,19,2,5,4,1,0,152,32.33,0.58,98,31,8.63,26,24,26,7.24,17.11,24,6.68,15.79,0.92,2,2,58.72,6.68,103.92,6.49,100.93,0.19,1.76
24,"Gavin
 Kinworthy",OFL,So,P,1,1,0,1,0,0,21,3.67,0.07,11,6,14.71,7,7,4,9.81,19.05,4,9.82,19.05,1.00,1,1,41.67,17.18,267.28,10.02,155.83,7.16,2.72
28,"Eric
 Steward",OFL,Fr,P,3,0,0,0,0,0,21,4.33,0.08,11,5,10.39,4,3,3,6.24,14.29,5,10.38,23.81,1.67,1,1,65.79,6.23,96.92,8.04,124.97,-1.81,1.85
29,"Victor
 Fujiu",OFL,Jr,P,9,0,0,1,0,0,68,10.33,0.18,27,9,7.84,19,17,29,25.27,42.65,12,10.45,17.65,0.41,0,0,50.00,14.81,230.40,10.67,165.92,4.14,3.68
31,"Coby
 Rogers",OFL,So,P,14,4,3,1,0,0,178,34.33,0.61,123,49,12.85,35,33,26,6.82,14.61,21,5.50,11.80,0.81,2,6,58.82,8.65,134.57,6.91,107.34,1.74,2.18
33,"Zach
 Beatty",OFL,So,OF,1,0,0,0,0,0,9,1.00,0.02,6,4,36.00,4,4,2,18.00,22.22,0,0.00,0.00,0.00,1,0,43.48,36.00,560.06,23.57,366.48,12.43,6.00
36,"Tucker
 Platt",OFL,So,IF,1,0,0,0,0,0,6,1.00,0.02,5,2,18.00,0,0,0,0.00,0.00,0,0.00,0.00,#NUM!,0,1,100.00,0.00,0.00,7.57,117.75,-7.57,2.00
38,"Barrett
 Lohman",OFL,Fr,P,11,10,3,2,0,0,234,49.67,0.89,158,60,10.87,33,31,31,5.62,13.25,38,6.89,16.24,1.23,5,2,69.77,5.62,87.43,6.35,98.66,-0.73,1.83
